customer_id,monthly_charges,tenure_months,contract_type,churn_probability,risk_tier,predicted_churn,actual_churn
0,29.85,1,Month-to-month,0.6717,"High Risk
(60–100%)",1,0
1,56.95,34,One year,0.0407,"Low Risk
(0–30%)",0,0
2,53.85,2,Month-to-month,0.2911,"Low Risk
(0–30%)",0,1
3,42.3,45,One year,0.0422,"Low Risk
(0–30%)",0,0
4,70.7,2,Month-to-month,0.6544,"High Risk
(60–100%)",1,1
5,99.65,8,Month-to-month,0.8296,"High Risk
(60–100%)",1,1
6,89.1,22,Month-to-month,0.4203,"Medium Risk
(30–60%)",0,0
7,29.75,10,Month-to-month,0.206,"Low Risk
(0–30%)",0,0
8,104.8,28,Month-to-month,0.5808,"Medium Risk
(30–60%)",1,1
9,56.15,62,One year,0.0293,"Low Risk
(0–30%)",0,0
10,49.95,13,Month-to-month,0.1775,"Low Risk
(0–30%)",0,0
11,18.95,16,Two year,0.0196,"Low Risk
(0–30%)",0,0
12,100.35,58,One year,0.2263,"Low Risk
(0–30%)",0,0
13,103.7,49,Month-to-month,0.4454,"Medium Risk
(30–60%)",0,1
14,105.5,25,Month-to-month,0.5009,"Medium Risk
(30–60%)",1,0
15,113.25,69,Two year,0.0489,"Low Risk
(0–30%)",0,0
16,20.65,52,One year,0.0318,"Low Risk
(0–30%)",0,0
17,106.7,71,Two year,0.0972,"Low Risk
(0–30%)",0,0
18,55.2,10,Month-to-month,0.1807,"Low Risk
(0–30%)",0,1
19,90.05,21,Month-to-month,0.473,"Medium Risk
(30–60%)",0,0
20,39.65,1,Month-to-month,0.7595,"High Risk
(60–100%)",1,1
21,19.8,12,One year,0.0412,"Low Risk
(0–30%)",0,0
22,20.15,1,Month-to-month,0.3366,"Medium Risk
(30–60%)",0,1
23,59.9,58,Two year,0.0332,"Low Risk
(0–30%)",0,0
24,59.6,49,Month-to-month,0.0817,"Low Risk
(0–30%)",0,0
25,55.3,30,Month-to-month,0.1362,"Low Risk
(0–30%)",0,0
26,99.35,47,Month-to-month,0.5077,"Medium Risk
(30–60%)",1,1
27,30.2,1,Month-to-month,0.5189,"Medium Risk
(30–60%)",1,1
28,90.25,72,Two year,0.0183,"Low Risk
(0–30%)",0,0
29,64.7,17,Month-to-month,0.2445,"Low Risk
(0–30%)",0,1
30,96.35,71,Two year,0.0252,"Low Risk
(0–30%)",0,0
31,95.5,2,Month-to-month,0.7687,"High Risk
(60–100%)",1,0
32,66.15,27,One year,0.0337,"Low Risk
(0–30%)",0,0
33,20.2,1,Month-to-month,0.3083,"Medium Risk
(30–60%)",0,0
34,45.25,1,Month-to-month,0.5717,"Medium Risk
(30–60%)",1,0
35,99.9,72,Two year,0.0198,"Low Risk
(0–30%)",0,0
36,69.7,5,Month-to-month,0.6334,"High Risk
(60–100%)",1,1
37,74.8,46,Month-to-month,0.2608,"Low Risk
(0–30%)",0,0
38,106.35,34,Month-to-month,0.5389,"Medium Risk
(30–60%)",1,1
39,97.85,11,Month-to-month,0.729,"High Risk
(60–100%)",1,1
40,49.55,10,One year,0.08,"Low Risk
(0–30%)",0,0
41,69.2,70,Two year,0.0292,"Low Risk
(0–30%)",0,0
42,20.75,17,One year,0.0323,"Low Risk
(0–30%)",0,0
43,79.85,63,Two year,0.0219,"Low Risk
(0–30%)",0,0
44,76.2,13,Month-to-month,0.247,"Low Risk
(0–30%)",0,0
45,84.5,49,Month-to-month,0.4641,"Medium Risk
(30–60%)",0,0
46,49.25,2,Month-to-month,0.3623,"Medium Risk
(30–60%)",0,0
47,80.65,2,Month-to-month,0.7371,"High Risk
(60–100%)",1,1
48,79.75,52,Two year,0.0377,"Low Risk
(0–30%)",0,0
49,64.15,69,Two year,0.0214,"Low Risk
(0–30%)",0,0
50,90.25,43,Month-to-month,0.4903,"Medium Risk
(30–60%)",0,0
51,99.1,15,Month-to-month,0.5004,"Medium Risk
(30–60%)",1,1
52,69.5,25,Month-to-month,0.141,"Low Risk
(0–30%)",0,0
53,80.65,8,Month-to-month,0.654,"High Risk
(60–100%)",1,1
54,74.85,60,One year,0.0485,"Low Risk
(0–30%)",0,0
55,95.45,18,Month-to-month,0.6595,"High Risk
(60–100%)",1,1
56,99.65,63,One year,0.1326,"Low Risk
(0–30%)",0,0
57,108.45,66,One year,0.2162,"Low Risk
(0–30%)",0,0
58,24.95,34,Two year,0.0176,"Low Risk
(0–30%)",0,0
59,107.5,72,Two year,0.0824,"Low Risk
(0–30%)",0,0
60,100.5,47,Month-to-month,0.5626,"Medium Risk
(30–60%)",1,0
61,89.9,60,Month-to-month,0.2711,"Low Risk
(0–30%)",0,0
62,42.1,72,Two year,0.0218,"Low Risk
(0–30%)",0,0
63,54.4,18,One year,0.0803,"Low Risk
(0–30%)",0,0
64,94.4,9,Month-to-month,0.6947,"High Risk
(60–100%)",1,1
65,75.3,3,Month-to-month,0.3688,"Medium Risk
(30–60%)",0,0
66,78.9,47,One year,0.1731,"Low Risk
(0–30%)",0,0
67,79.2,31,Two year,0.0448,"Low Risk
(0–30%)",0,0
68,20.15,50,Two year,0.0176,"Low Risk
(0–30%)",0,0
69,79.85,10,Month-to-month,0.415,"Medium Risk
(30–60%)",0,0
70,49.05,1,Month-to-month,0.3853,"Medium Risk
(30–60%)",0,0
71,20.4,52,One year,0.0411,"Low Risk
(0–30%)",0,0
72,111.6,64,Two year,0.1072,"Low Risk
(0–30%)",0,0
73,24.25,62,Two year,0.0138,"Low Risk
(0–30%)",0,0
74,64.5,3,Month-to-month,0.2311,"Low Risk
(0–30%)",0,0
75,110.5,56,One year,0.2196,"Low Risk
(0–30%)",0,0
76,55.65,46,One year,0.1112,"Low Risk
(0–30%)",0,0
77,54.65,8,Month-to-month,0.143,"Low Risk
(0–30%)",0,0
78,74.75,30,Month-to-month,0.2101,"Low Risk
(0–30%)",0,0
79,25.9,45,One year,0.0351,"Low Risk
(0–30%)",0,0
80,79.35,1,Month-to-month,0.8453,"High Risk
(60–100%)",1,1
81,50.55,11,Month-to-month,0.2663,"Low Risk
(0–30%)",0,0
82,75.15,7,Month-to-month,0.5374,"Medium Risk
(30–60%)",1,1
83,103.8,42,Month-to-month,0.3723,"Medium Risk
(30–60%)",0,0
